iter	Passed	Remaining
399	3083	770
400	3090	763
401	3099	755
402	3107	748
403	3115	740
404	3123	732
405	3131	725
406	3139	717
407	3146	709
408	3155	702
409	3163	694
410	3172	686
411	3180	679
412	3189	671
413	3197	664
414	3205	656
415	3214	649
416	3222	641
417	3229	633
418	3237	625
419	3244	617
420	3252	610
421	3261	602
422	3269	595
423	3277	587
424	3286	579
425	3293	572
426	3301	564
427	3309	556
428	3316	548
429	3324	541
430	3332	533
431	3340	525
432	3347	517
433	3355	510
434	3364	502
435	3371	494
436	3379	487
437	3386	479
438	3394	471
439	3402	463
440	3409	456
441	3417	448
442	3424	440
443	3431	432
444	3439	425
445	3447	417
446	3454	409
447	3461	401
448	3469	394
449	3477	386
450	3485	378
451	3493	370
452	3501	363
453	3509	355
454	3516	347
455	3525	340
456	3532	332
457	3540	324
458	3548	316
459	3556	309
460	3563	301
461	3571	293
462	3579	286
463	3586	278
464	3593	270
465	3602	262
466	3610	255
467	3618	247
468	3626	239
469	3633	231
470	3641	224
471	3648	216
472	3656	208
473	3664	200
474	3672	193
475	3679	185
476	3688	177
477	3695	170
478	3702	162
479	3709	154
480	3716	146
481	3723	139
482	3730	131
483	3737	123
484	3743	115
485	3750	108
486	3757	100
487	3764	92
488	3771	84
489	3779	77
490	3786	69
491	3793	61
492	3800	53
493	3807	46
494	3814	38
495	3821	30
496	3828	23
497	3834	15
498	3841	7
499	3849	0
