iter	Logloss
0	0.6796552734
1	0.6678241211
2	0.6574620117
3	0.6475811523
4	0.6390255859
5	0.6308453125
6	0.6244535645
7	0.6174448242
8	0.6108488281
9	0.6053732422
10	0.599940625
11	0.5951018555
12	0.5905140625
13	0.5855767578
14	0.5812899902
15	0.5775117187
16	0.5740209961
17	0.5709412109
18	0.5684788086
19	0.5653873535
20	0.5632228516
21	0.5610237305
22	0.5588852539
23	0.5564491211
24	0.5541873047
25	0.5516674805
26	0.5497648438
27	0.5476484375
28	0.5461820312
29	0.5439668457
30	0.5424664062
31	0.5408466797
32	0.5392693359
33	0.5370332031
34	0.5356783691
35	0.5342278809
36	0.5327151367
37	0.5315541016
38	0.5304804687
39	0.5292739746
40	0.528151416
41	0.5269739746
42	0.5263311035
43	0.5255062012
44	0.5245911133
45	0.523249707
46	0.5222373047
47	0.5211742188
48	0.5199414062
49	0.5193108398
50	0.5180571289
51	0.5169518066
52	0.5161999512
53	0.5151541992
54	0.5141819824
55	0.5132345703
56	0.5123328125
57	0.5116799316
58	0.5108774414
59	0.5100414063
60	0.5091324219
61	0.5081453125
62	0.5073599609
63	0.50674375
64	0.5062221191
65	0.505334082
66	0.5048375488
67	0.504217334
68	0.5037175781
69	0.5032396973
70	0.502559082
71	0.5018722168
72	0.5012068848
73	0.5004467773
74	0.4998209473
75	0.4993014648
76	0.4987862305
77	0.4983887207
78	0.4974831055
79	0.4968967773
80	0.4965388672
81	0.4961085937
82	0.4955549805
83	0.4949742676
84	0.494235498
85	0.4935857422
86	0.492893457
87	0.4922842773
88	0.491722998
89	0.4912847168
90	0.490564502
91	0.4899284668
92	0.4889655762
93	0.4880540527
94	0.4873389648
95	0.486517041
96	0.4860834473
97	0.4856241699
98	0.4846269043
99	0.4840728516
100	0.4831891602
101	0.4825790527
102	0.4819955566
103	0.4816225586
104	0.4810355469
105	0.4802568359
106	0.4796927734
107	0.4792021973
108	0.4785666016
109	0.4779974609
110	0.4776101562
111	0.4770969238
112	0.4763632812
113	0.4758874023
114	0.4752973145
115	0.4745108887
116	0.4742052734
117	0.4737255859
118	0.4732353516
119	0.4729549316
120	0.4722437988
121	0.4717169434
122	0.4712554688
123	0.4708438477
124	0.4703911133
125	0.4701197754
126	0.4697018555
127	0.468880957
128	0.4685998047
129	0.4678977539
130	0.4674013672
131	0.4668478027
132	0.466395752
133	0.4660427246
134	0.4654788086
135	0.4644598633
136	0.4641054688
137	0.4635424805
138	0.4630550781
139	0.4623381836
140	0.4617834961
141	0.461507666
142	0.4608421387
143	0.4602378906
144	0.459540625
145	0.4590821777
146	0.4585718262
147	0.4582662598
148	0.4580245605
149	0.4572910156
150	0.456820166
151	0.4562255859
152	0.4554633301
153	0.4549651367
154	0.454301416
155	0.4540982422
156	0.4538049805
157	0.4530808594
158	0.4524331055
159	0.4519293945
160	0.4517720215
161	0.451463623
162	0.4508353516
163	0.4503942383
164	0.4499658203
165	0.4491574219
166	0.448767041
167	0.4485164062
168	0.4482960938
169	0.448005957
170	0.447625293
171	0.4469369629
172	0.4465910156
173	0.4458062012
174	0.4454081055
175	0.4449452148
176	0.4444036621
177	0.4438360352
178	0.4435854492
179	0.4432655762
180	0.4425217773
181	0.4419129883
182	0.4413625
183	0.4409209961
184	0.4404484375
185	0.4401095703
186	0.4397744141
187	0.4392438965
188	0.4387150879
189	0.4379705078
190	0.4373838867
191	0.4367367187
192	0.4361771484
193	0.435755957
194	0.4353534668
195	0.434974707
196	0.4345012695
197	0.4339181641
198	0.4335956055
199	0.433162207
200	0.4327043945
201	0.4319941895
202	0.4315169922
203	0.4308335938
204	0.4302624512
205	0.4296764648
206	0.4289109375
207	0.428686377
208	0.4279916016
209	0.4274454102
210	0.426995752
211	0.4266275879
212	0.4262873047
213	0.4259258789
214	0.42553125
215	0.4250447266
216	0.4242250488
217	0.4235722656
218	0.4233245117
219	0.422725
220	0.4220486328
221	0.4212763672
222	0.4206980469
223	0.420290918
224	0.4198771973
225	0.4195634766
226	0.4189632324
227	0.4183610352
228	0.4180251953
229	0.4175238281
230	0.4169987793
231	0.4161335937
232	0.4156628418
233	0.4150116699
234	0.4147131836
235	0.4144145996
236	0.4135588867
237	0.4131702637
238	0.4128925781
239	0.4124463867
240	0.4119330566
241	0.4113558105
242	0.4109317383
243	0.4102868164
244	0.4096556641
245	0.4094951172
246	0.4090627197
247	0.4084660156
248	0.4077763184
249	0.4072930664
250	0.4069578613
251	0.4065324219
252	0.4061220459
253	0.4058114746
254	0.4052740723
255	0.4048204102
256	0.4043708496
257	0.4040106445
258	0.4035001953
259	0.4030690918
260	0.4024412109
261	0.4018743164
262	0.4012499512
263	0.4005908203
264	0.4000842285
265	0.3997910889
266	0.399192334
267	0.3983202881
268	0.3978166016
269	0.3974198975
270	0.3969601318
271	0.3965780273
272	0.3961028809
273	0.3955155518
274	0.3951135254
275	0.394820166
276	0.3941300293
277	0.3936047119
278	0.3931108887
279	0.3928200684
280	0.3922473633
281	0.3916355957
282	0.3912837402
283	0.3908693359
284	0.3904331787
285	0.390198584
286	0.389844043
287	0.3892818359
288	0.3890161621
289	0.3886775879
290	0.3886524902
291	0.3883079102
292	0.3880164063
293	0.3876121094
294	0.3868673828
295	0.386487207
296	0.3864344238
297	0.3859197266
298	0.38545896
299	0.3850295898
300	0.3849901367
301	0.3846520996
302	0.3840955078
303	0.3836844238
304	0.3832273438
305	0.3826039551
306	0.3822745605
307	0.3817093018
308	0.3813832031
309	0.3809773437
310	0.3805193848
311	0.3800624512
312	0.3797936523
313	0.3793445801
314	0.3789256592
315	0.3785250977
316	0.3778810547
317	0.3772937988
318	0.3771312256
319	0.3766009766
320	0.3761897217
321	0.375897998
322	0.3754963867
323	0.3752059082
324	0.3746016602
325	0.3740969727
326	0.3737631836
327	0.3734684814
328	0.3729540771
329	0.3726378906
330	0.3723318848
331	0.3719182373
332	0.3716861328
333	0.3711478271
334	0.3709612793
335	0.370696875
336	0.3701171387
337	0.3696114258
338	0.3691873047
339	0.3688021484
340	0.3682867676
341	0.3679674072
342	0.3675448975
343	0.3669988281
344	0.366564502
345	0.3662540039
346	0.3660527832
347	0.3658166504
348	0.365456543
349	0.3650928711
350	0.3648455566
351	0.3644983398
352	0.3640506348
353	0.3634668945
354	0.3632527588
355	0.3628283203
356	0.3626510986
357	0.3623270996
358	0.3620334473
359	0.3615013184
360	0.3611378174
361	0.3607674805
362	0.3602840576
363	0.3598664062
364	0.3593864258
365	0.3589945557
366	0.3584219238
367	0.3580378906
368	0.35769375
369	0.3572806641
370	0.357032373
371	0.3567041016
372	0.3564278809
373	0.3560793457
374	0.3558935547
375	0.355352002
376	0.3551094482
377	0.3548193359
378	0.3544550781
379	0.3540798828
380	0.353710498
381	0.3531328125
382	0.352733252
383	0.3522485352
384	0.3518387695
385	0.351499707
386	0.3509926514
387	0.3505888184
388	0.3501490723
389	0.3500099365
390	0.3496730469
391	0.3494841064
392	0.3491096191
393	0.3486430664
394	0.3483400391
395	0.3480725098
396	0.3474494873
397	0.3470175781
398	0.3463282715
399	0.3460790039
400	0.3454367676
401	0.3451580078
402	0.3445675293
403	0.3442925781
404	0.3440087891
405	0.3435968994
406	0.3433240234
407	0.3427972656
408	0.3421336426
409	0.3418734619
410	0.3412495605
411	0.3409284912
412	0.340544873
413	0.340214209
414	0.3397891602
415	0.3393076172
416	0.3391569336
417	0.33892146
418	0.3386261475
419	0.3383355957
420	0.3381136719
421	0.3377007568
422	0.3374186523
423	0.3370522949
424	0.3364866943
425	0.3360777588
426	0.3355925781
427	0.3352052246
428	0.3348491211
429	0.3345453125
430	0.3342314209
431	0.3338325684
432	0.3335363281
433	0.3333743652
434	0.3330237549
435	0.3327256104
436	0.332438916
437	0.3321567383
438	0.3316314209
439	0.3313943848
440	0.330835083
441	0.3300881836
442	0.3298236328
443	0.3294601807
444	0.3291377441
445	0.3286962402
446	0.3281929199
447	0.3279481689
448	0.3276341309
449	0.3272736572
450	0.3268827148
451	0.326585791
452	0.3262990234
453	0.3259230713
454	0.325607373
455	0.3252035645
456	0.3248136719
457	0.3245411133
458	0.3239724365
459	0.3235883301
460	0.3234384277
461	0.3227853271
462	0.3223128906
463	0.3221335938
464	0.3218393066
465	0.3215053467
466	0.3213644043
467	0.3211298096
468	0.3207807129
469	0.3204634277
470	0.3201246094
471	0.3199282227
472	0.3194205078
473	0.3192239258
474	0.3189570557
475	0.3184988037
476	0.318099707
477	0.3177392822
478	0.3173015625
479	0.3170959473
480	0.3167274902
481	0.3164319336
482	0.3159275879
483	0.31566875
484	0.3156521973
485	0.3153576172
486	0.3149601563
487	0.3147343262
488	0.3144068359
